day,depth,co2,se
3,surface,0.266465427,0.024837219
10,surface,0.057063793,0.008391719
25,surface,0.045732477,0.006920415
60,surface,0.053322443,0.009553295
125,surface,0.004773865,0.002957509
216,surface,0.018350708,0.003871004
337,surface,0,0
371,surface,0.004232514,0.001336849
745,surface,0.008519442,0.008519442
3,subsurface,0.267085321,0.015343126
10,subsurface,0.054263585,0.016089566
25,subsurface,0.032491751,0.002542067
60,subsurface,0.022424433,0.004504749
125,subsurface,0.052754128,0.008079503
216,subsurface,0.008134656,0.004355276
337,subsurface,0,0
371,subsurface,0.000365905,0.000365905
745,subsurface,0.006953831,0.005512899
