day,depth,co2,se
3,surface,20.34350797,1.40987098
10,surface,10.57745239,0.977469197
25,surface,4.245859628,0.440473298
60,surface,2.156383331,0.166907045
125,surface,0.868484066,0.424589231
216,surface,1.267434162,0.114162241
337,surface,0.427911207,0.055372608
371,surface,0.237431573,0.052631352
745,surface,0.179766957,0.018042856
3,subsurface,17.81244902,1.8114775
10,subsurface,7.078966985,0.442779918
25,subsurface,4.050305457,0.639254211
60,subsurface,1.790676554,0.184012099
125,subsurface,0.085440309,0.006056283
216,subsurface,0.404104726,0.137795477
337,subsurface,0.500320107,0.08472431
371,subsurface,0.113954613,0.023941768
745,subsurface,0.166910689,0.007464587
